ID,óùâ»,âpåÍ,êîäw,çëåÍ,é–âÔ
01,98,68,49,57,71
02,31,55,57,73,89
03,78,44,46,54,71
04,78,54,40,49,86
05,64,70,99,89,55
06,88,47,100,98,58
07,80,52,94,49,67
08,39,49,47,74,75
09,44,47,97,82,73
10,36,90,44,56,56
11,82,53,63,45,86
12,85,54,49,80,58
13,45,45,68,92,78
14,81,98,53,57,70
15,50,96,36,45,86
16,48,93,60,51,56
17,90,55,87,80,99
18,77,56,49,46,77
19,94,55,96,80,71
20,68,86,75,79,100
21,89,90,37,54,99
22,69,45,73,87,52
23,64,100,57,91,93
24,74,42,95,94,99
25,35,77,36,80,82
26,40,50,47,89,95
27,55,77,54,57,91
28,57,94,61,86,96
29,79,77,72,86,85
30,44,66,97,79,88
31,50,58,56,76,71
32,78,53,62,46,97
33,35,62,58,62,98
34,49,90,41,90,82
35,50,42,67,99,74
36,58,73,37,54,100
37,51,43,95,44,51
38,43,58,81,99,70
39,98,71,82,82,61
40,88,66,54,95,58
41,41,99,83,99,61
42,64,76,57,70,74
